file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
T7SCH.DFM,T7SC,SC-H,TEditForm1,5,0,0,0,5,0,0,0,25
T7SCOMP.DFM,T7SC,,TImageList,0,0,0,0,0,0,0,0,1
T7SDET.DFM,T7SD,,TImageList,0,0,0,0,0,0,0,0,1
T7SELLOC.DFM,T7SE,,TImageList,0,0,0,0,0,0,0,0,1
T7SEPROC.DFM,T7SE,New Screen,TEditForm1,3,1,0,0,1,0,0,1,20
T7SERR.DFM,T7SE,New Screen,TEditForm2,3,1,0,0,1,0,0,1,20
T7SETYPE.DFM,T7SE,New Screen,TEditForm1,3,1,0,0,1,0,0,1,20
T7SHA.DFM,T7SH,,TTASStrList,0,0,0,0,0,0,0,0,1
T7SHB.DFM,T7SH,,TImageList,0,0,0,0,0,0,0,0,1
T7SHC.DFM,T7SH,,TImageList,0,0,0,0,0,0,0,0,1
T7SHE.DFM,T7SH,,TImageList,0,0,0,0,0,0,0,0,1
T7SHF.DFM,T7SH,SH-F,TEditForm1,15,8,0,4,3,0,0,0,43
T7SHG.DFM,T7SH,SH-G,TEditForm1,31,11,0,4,8,8,0,0,69
T7SHH.DFM,T7SH,New Screen,TEditForm1,14,3,0,4,7,0,0,0,42
T7SHI.DFM,T7SH,SH-I,TEditForm1,47,16,0,5,13,13,0,0,106
