code,module,description,sources
SO-C,SO,Print Pick Ticket,BKSOC;ISTECH;T6ALSOC;t6soc
SO-D,SO,Print Shipping Labels,BKSOD;T6SOD;t6sodmsg
SO-E,SO,Release Sales Orders,BKSOE;T6SOE
SO-F,SO,Print/Reprint Invoices,BKSOF;ISTECH;T6ALSOF;T6SOF
SO-G,SO,Post Invoices,BKSOG;BKSOGA;BKSOGSAV;ISSRGA
SO-H,SO,Display Invoice History,BKSOH
SO-I,SO,Customer Service Inquiry,BKSOI
SO-J,SO,View Recurring Sales Orders,BKSOJ;BKSOJ2;t6SOJ;t6soj2
SO-K,SO,Generate Sales Orders from Recurring SO Templates,BKSOK
SO-L,SO,Enter/Print Note Templates,BKSOL
SO-M,SO,Print Template Forms,BKSOM;t6som
SO-N,SO,Manual Mat Cost/Lab Hours,AUTOSON;BKSON;ISSON
SO-O-A,SO,Print Open Sales Order Listing,BKSOOA
SO-O-B,SO,Print Backorder Listing,BKSOOB
SO-O-D,SO,Print Commissions by Sales Order,BKSOOD
SO-O-E,SO,Print Shipping Schedule,BKSOOE
SO-O-F,SO,Print Available to Ship,BKSOOF;t6soof
SO-O-G,SO,Print Sales Order/Work Order Schedule,BKSOOG
SO-O-H,SO,Print Invoice Listing,BKSOOH
SO-O-I,SO,Print Released Sales Orders,BKSOOI
SO-O-J,SO,Print User-Defined Detail,BKSAM;T6SAM
SO-O-K,SO,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan
SO-O-M,SO,Print Sales Order Changes,ISSOOM
SO-O-N,SO,Print OnTime Shipping Report,ISSOON
SO-O-O,SO,Sales Order/Work Order Exception Report,ISSOOO;ISSROO
SO-P-A,SO,Enter Sales Quotations,BKSOA;BKSOA2;BKSOJ;BKSOJ2;ISTECH
SO-P-B,SO,Print Sales Quotations,BKSOPB;T6ALSOPB;T6SOPB
SO-P-C,SO,Convert Sales Quotation,BKSOPC
SO-P-D,SO,Print User-Defined Detail,BKSAM;T6SAM
SO-P-E,SO,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan
SO-P-F,SO,Enter Return Authorization,BKSOA;BKSOA2;BKSOJ;BKSOJ2;t6SOJ
SO-P-H,SO,Enter RMA- Edit Existing RMA,JKSOS1S;JKSOS2S;jksos1.run;jksos2.run
SO-P-I,SO,Enter Freight & Tracking #,BKSOPI
SO-P-J,SO,Post Shipped Items,ISSOPJ
SO-P-K,SO,Close Sales Quotation,ISSOPK
SO-P-L,SO,Enter Tracking #,BKSOPI
SO-Q,SO,Customer Service Inquiry,BKSOQ
SO-Q-A,SO,Enter Base Prices,BKSOQA
SO-Q-B,SO,Print Base Prices,BKSOQB
SO-Q-C,SO,Global Price Change,BKSOQC
SO-Q-J,SO,Generate Base Prices,BKSOQJ
SO-R,SO,Void Invoice,BKSOGA;BKSOR;ISSRGA
SO-S-B,SO,Print Return Authorizations,JKSOSB;T6jksosb
SO-T,SO,View,BKSOA;BKSOA2;BKSOJ;BKSOJ2;t6SOJ
SO-U,SO,Convert Sales Orders to Purchase Orders,CRSOPO;ISSOPO
SO-X,SO,Mass Void Invoice,ISMASVOD
SR-A,SR,View Service/Repair Orders,ISSRA;ISSRA2;j6btsra
SR-B,SR,Print S/R or Quotes,ISSRB;T6ISSRB
SR-C,SR,Convert Service/Repair Orders,BKSON;ISSRC;ISSRCMSG
