IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
BSCHIBI121708P20220825,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-25
BSCHIBI123004P20231024,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-24
BSCHIBI123120P20240401,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01
BSCHIBI123225P20220125,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-25
BSCHIBI123236P20240501,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
BSCHIBI123355P20230622,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-22
BSCHIBI123650P20230202,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-02
BSCHIBI123654P20230323,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-23
BSCHIBI123952P20230608,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-08
BSCHIBI124049P20240429,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
BSCHIBI124056P20220808,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-08
BSCHIBI124432P20230112,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-12
BSCHIBI124839P20211019,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19
BSCHIBI125105P20230322,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22
BSCHIBI125110P20240806,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06
BSCHIBI125459P20230823,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-23
CBOND084952A20240219,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-23
CESPADA061657A20220111,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-11
CESPADA062859A20210920,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-21
CESPADA072758A20210915,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-15
CESPADA100136A20220425,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-25
CESPADA104111A20211021,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-22
CHENION030939P20220613,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-13
CHENION044001P20220706,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-06
CHENION072136A20220707,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-07
CHENION073926A20220526,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-26
CHENION074155A20220608,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08
CHENION075328A20220818,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18
CHENION080840A20220718,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18
CHENION080904A20220622,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-22
CHENION084353A20220912,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-12
CHENION090546A20220718,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18
CHENION091850A20220811,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11
CHENION103735A20211019,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19
