table,pk_segment,pk_field,field_type,field_size,flags
IS2DBAR,3,IS2D_BAR_ORDER,14,2,DUP
ISACAR,1,IS_NCR_NUM,2,8,DUP
ISACARFU,1,IS_CARFUP_CAR,2,8,DUP
ISACCESS,1,IS_ACC_DFM,0,64,DUP
ISACCESS,2,IS_ACC_NAME,0,10,DUP
ISACTION,1,IS_ACTION_TYPE,0,10,DUP
ISACYCLE,1,IS_CYCL_SEMP,14,2,DUP
ISACYCLE,2,IS_CYCL_DATE,3,4,DUP
ISACYCLE,3,IS_CYCL_CODE,0,4,DUP
ISACYLOC,1,IS_CYLOC_PART,0,15,DUP
ISACYLOC,2,IS_CYLOC_DATE,3,4,DUP
ISALINKS,1,IS_LNK_UID,0,48,DUP
ISALOT,1,MTLOT_CODE,0,15,DUP
ISALPART,1,BKSB_PART_PARNT,0,15,DUP
ISALPART,2,BKSB_PART_PROD,0,15,DUP
ISALPART,3,BKSB_PART_CUST,0,10,DUP
ISAMRPF,1,BKMRP_FC_PART,0,15,DUP
ISANCR,1,IS_NCR_NUM,2,8,DUP
ISANOTES,1,IS_NOTE_ID,0,48,DUP
ISAPACHK,1,BKAP_CHK_VNDCOD,0,10,DUP
ISAPACHK,2,BKAP_CHK_INVNUM,0,10,DUP
ISAPAINL,1,BKAP_INVL_CODE,0,10,DUP
ISAPAINL,2,BKAP_INVL_NUM,0,10,DUP
ISAPAINT,1,BKAP_INVT_CODE,0,10,DUP
ISAPARFL,1,BKAP_POL_PONM,2,8,DUP
ISAPARFQ,1,BKAP_PO_NUM,2,8,DUP
ISAPAVND,1,BKAP_VENDCODE,0,10,
ISAPCHG,1,ISAP_CHG_PONUM,2,8,DUP
ISAPCHG,2,ISAP_CHG_LINEID,14,2,DUP
ISAPCHG,3,ISAP_CHG_CDATE,3,4,DUP
ISAPEX,1,ISAPEX_VEND,0,10,DUP
ISAPHCHG,1,ISAP_CHG_PONUM,2,8,DUP
ISAPHCHG,2,ISAP_CHG_LINEID,14,2,DUP
ISAPHCHG,3,ISAP_CHG_CDATE,3,4,DUP
ISAPHQT,1,BKRFQ_NUM,2,8,DUP
ISAPOPO,1,BKAP_PO_NUM,2,8,DUP
ISAPOPOL,1,BKAP_POL_PONM,2,8,DUP
ISAPPROJ,1,ISAP_PROJ_VEND,0,10,DUP
ISAPPROJ,2,ISAP_PROJ_INV,0,10,DUP
ISAPPROJ,3,ISAP_PROJ_LINE,14,2,DUP
ISAPQPO,1,ISAP_QPO_PCODE,0,15,DUP
ISAPQTQT,1,BKRFQ_NUM,2,8,DUP
ISARACHG,1,ISAR_CHG_SONUM,2,8,DUP
ISARACHG,2,ISAR_CHG_LINEID,2,8,DUP
ISARACHG,3,ISAR_CHG_CDATE,3,4,DUP
ISARACHK,1,BKAP_CHK_VNDCOD,0,10,DUP
ISARACHK,2,BKAP_CHK_INVNUM,0,10,DUP
ISARACST,1,BKAR_CUSTCODE,0,10,
ISARADSC,1,BK_DESC_CODE,0,15,DUP
ISARAHDS,1,BK_DESC_CODE,0,15,DUP
ISARAHIL,1,BKAR_INVL_INVNM,2,8,DUP
ISARAHIN,1,BKAR_INV_NUM,2,8,DUP
ISARAHTX,1,BKAR_TAX_INVNO,2,8,DUP
ISARAINT,1,BKAR_INVT_CODE,0,10,DUP
ISARAINT,2,BKAR_INVT_DATE,3,4,DUP
ISARAINT,3,BKAR_INVT_NUM,2,8,DUP
ISARAINV,1,BKAR_INV_NUM,2,8,DUP
ISARAIVI,1,BKAR_INVI_SONUM,2,8,DUP
ISARAIVL,1,BKAR_INVL_INVNM,2,8,DUP
ISARAIVV,1,BKAR_INVV_CODE,0,10,DUP
ISARAIVV,2,BKAR_INVV_NUM,0,6,DUP
ISARAT,1,BKART_TRXN,2,8,DUP
ISARATNT,1,BKART_NOT_TRXN,2,8,DUP
ISARATXN,1,BKAR_TXN_SONUM,2,8,DUP
ISARATXS,1,BKAR_TXN_SONUM,2,8,DUP
ISARCHG,1,ISAR_CHG_SONUM,2,8,DUP
ISARCHG,2,ISAR_CHG_LINEID,2,8,DUP
ISARCHG,3,ISAR_CHG_CDATE,3,4,DUP
ISARDEPL,1,ISAR_DEPL_SO,2,8,DUP
ISARDEPL,2,ISAR_DEPL_ITEM,0,15,DUP
ISARDEPL,3,ISAR_DEPL_DATEC,3,4,DUP
ISARECHG,1,ISAR_CHG_SONUM,2,8,DUP
ISARECHG,2,ISAR_CHG_LINEID,2,8,DUP
ISARECHG,3,ISAR_CHG_CDATE,3,4,DUP
ISAREMND,1,IS_REM_DATE,3,4,DUP
ISAREMND,2,IS_REM_TIME,4,4,DUP
ISAREMND,3,IS_REM_WHO,0,20,DUP
ISAREX,1,ISAREX_CUST,0,10,DUP
ISARFQ,1,BKRFQ_NUM,2,8,DUP
ISARHCHG,1,ISAR_CHG_SONUM,2,8,DUP
ISARHCHG,2,ISAR_CHG_LINEID,2,8,DUP
ISARHCHG,3,ISAR_CHG_CDATE,3,4,DUP
ISARHJDL,1,ISAR_JD_INVNUM,2,8,DUP
ISARHJDL,2,ISAR_JD_CNTR,14,2,DUP
ISARICHG,1,ISAR_CHG_SONUM,2,8,DUP
ISARICHG,2,ISAR_CHG_LINEID,2,8,DUP
ISARICHG,3,ISAR_CHG_CDATE,3,4,DUP
ISARINVX,1,ISAR_INV_SONUM,2,8,DUP
ISARJDLP,1,ISAR_JD_INVNUM,2,8,DUP
ISARJDLP,2,ISAR_JD_CNTR,14,2,DUP
