code,module,description,rwn/run_modules,dfm_forms,help_title
IN-N-C,IN,Print Closed Work Orders Costing,BKINNC,T7INNC.DFM,Print Closed Work Orders Costing
IN-N-D,IN,Print Inventory Audit,BKINND;ISINND,T7INND.DFM,Print Inventory To Gl Exceptions
IN-O,IN,User Defined Inventory Transactions,BKINO;T6INO,T7INO.DFM,User Defined Inventory Transactions
IN-P,IN,Print Inventory Usage,,,Print Inventory Usage
IN-Q,IN,Print Labels With Lot Serial Info,,,Print Labels With Lot Serial Info
IS-A,IS,Item Recap,J5AVICT;J5BOMXPT;J5CRDCPY;J5CRPIMP;J5NWTICT,,
IS-B,IS,Production Report,J6CFPRPT;JMAPIBL;JMMPI2;jmcrbfs,,
IS-C,IS,Top N Shipped Items,J6CFTOPI,,
IS-D,IS,New Customer Report,j6cfcust,,
JC-A,JC,Print Job Cost Report,BKJCA;t6jca,T7JCA.DFM,Print Job Cost Report
JC-B,JC,Print Profit Projection,BKJCB,T7JCB.DFM,Print Profit Projection
JC-C,JC,Print Labor Transactions,BKJCC,,Print Labor Transactions
JC-D,JC,Print Overhead Transactions,BKJCD,,Print Overhead Transactions
JC-E,JC,Print Material Issues,BKJCE;ISJCE,T7JCE.DFM;T7JCENG.DFM,Print Material Issues
JC-F,JC,Print Outside Purchases,BKJCF,T7JCF.DFM,Print Outside Purchase
JC-G,JC,Print Labor Efficiency,BKJCG,,Print Labor Efficiency
JC-H,JC,Print Active Work Order History,BKJCH;J6HTJCH,T7JCH.DFM,Print Work Order History
JC-I,JC,Print Production By Work Center,BKJCI,,Print Production By Work Center
JC-J,JC,Print Production By Machine,BKJCJ,,Print Production By Machine
JC-K,JC,Print Production By Tool,BKJCK,,Print Production By Tool
JC-L,JC,Print Job Cost Summary,BKJCL,T7JCL.DFM,Print Job Cost Summary
JC-M,JC,Print WIP Summary,BKJCM,T7JCM.DFM,Print Wip Summary
JC-N,JC,Print WIP Percent Completion,BKJCN,T7JCN.DFM,Print Wip Percent Completion
JC-O,JC,Print Standard Labor Hours,BKJCO,,Print Standard Labor Hours
JC-P,JC,Print Materials in WIP,BKJCP,T7JCP.DFM,Print Materials In Wip
JC-Q,JC,Print WO Receipts,BKJCQ,T7JCQ.DFM,Print Work Order Receipts
JC-R,JC,Multi-Level Assembly Cost Breakdown,BKJCR,T7JCR.DFM;T7JCRM.DFM,Print Multi Level Job Cost
JC-S,JC,Work Order Detail Report,,,Work Order Detail Report
LC-A,LC,Edit Lot Numbers,BKLCA,T7LCA.DFM,Edit Lot File
LC-B,LC,Assign Lot Control,BKLCB,T7LCB.DFM,Assign Lot Control
LC-C,LC,Print Lot Availability,BKLCC;T6LCC,T7LCC.DFM;T7LCC2.DFM,Print Lot Availability
LC-D,LC,Print Lot History,BKINO;T6INO,,Print Lot History
LC-E,LC,Reconcile Inventory,BKLCE;t6islce,T7LCE.DFM,
LC-F,LC,LOT Control Exceptions,BKLCF;ISLCF,T7LCF.DFM,
LC-G,LC,Sales Order Lot Control,BKLCG,T7LCG.DFM,
LM-B,LM,Enter Item Generator Templates,BKLMB,,
LM-H,LM,Purge QC Receipts,BKLMH,,
LW-A,LW,Enter Work Orders,BKAWA;BKDCI;BKWOA,,
LW-B,LW,Change WO Status,BKAWB;BKWOB,,
LW-D,LW,Print Pick Lists,BKAWD;BKWOD,,
LW-E,LW,Issue Material,BKAWG;BKDEJHA;BKWOG;ISWOG,,
LW-F,LW,Enter Extra Costs,BKAWH;BKLWF;BKWOH,,
LW-G,LW,Enter Finished Production,BKAWI;BKDEJIA;BKWOIP~1;NZWOI;SRWOI,,
LW-H,LW,Close/Cancel Work Orders,BKAWJ,,
LW-I-A,LW,Enter Work Order Bills of Material,BKAWKB,,
LW-I-B,LW,Create Multi-Date Work Orders,BKAWKC;BKWOKC,,
LW-I-C,LW,Create Multi-Assy Work Orders,BKAWKD;BKWOKD,,
LW-I-D,LW,Swap Substitute Parts,BKAWKE;BKWOKE,,
