file_id,field_id,index_num,part_num
2,13327,2,1
2,13328,2,0
2,13583,1,0
2,13824,2,1
2,13827,2,1
2,13832,2,0
2,14601,2,1
2,14603,2,1
2,14605,2,1
2,15106,2,0
2,15112,2,1
2,15114,2,1
2,15116,2,1
2,15366,2,0
2,15367,2,1
2,15368,2,0
2,15369,2,1
2,15371,2,1
2,16645,2,1
2,16647,2,1
2,16649,2,1
2,16650,2,1
2,16656,2,1
2,16897,1,0
2,17152,0,0
2,17153,2,1
2,17155,2,1
2,17156,2,0
2,17157,2,1
2,17159,2,1
2,17161,2,0
2,17921,2,1
2,17926,2,1
2,17929,2,1
2,18434,2,0
2,18437,2,0
2,18445,2,1
2,18446,2,0
2,19472,2,0
2,20736,2,1
2,20738,2,1
2,20743,2,0
2,20753,2,1
2,21504,2,1
2,21505,2,1
2,21506,2,1
2,21507,2,1
2,21508,2,1
2,21509,2,1
2,21514,2,1
2,21515,2,1
2,22022,2,1
2,22026,2,0
2,22031,2,1
2,22280,0,0
2,23040,2,1
2,23044,2,1
2,23045,2,1
2,23047,2,1
2,23051,2,0
2,23051,2,1
2,23053,2,1
2,23552,2,1
2,23555,2,1
2,23559,2,1
2,23560,2,1
2,23562,2,0
2,23562,2,1
2,23566,2,1
2,23568,2,1
2,24332,2,0
2,25351,2,0
2,25359,2,1
2,25360,2,1
2,25361,2,1
2,25857,2,1
2,25858,2,1
2,25859,2,0
2,25866,2,1
2,25869,2,1
2,26370,2,0
2,26372,2,1
2,26374,2,1
2,26375,2,1
2,26377,2,1
2,26378,2,1
2,26380,2,1
2,26383,2,1
2,26384,2,0
2,26384,2,1
2,26385,2,1
2,26880,2,0
2,26880,2,1
2,26887,2,1
2,26889,2,1
2,26890,2,1
2,26891,2,1
2,26892,2,1
2,26894,2,1
2,26895,2,1
2,27392,2,1
2,27395,2,1
2,27407,2,0
2,27408,1,0
2,28418,2,1
2,28432,2,0
2,28676,2,1
2,28684,2,0
2,29195,2,0
2,30978,2,1
2,30979,2,1
2,30981,2,1
2,30982,2,1
2,30983,2,1
2,30984,2,1
2,30985,2,1
2,31491,0,0
2,31498,2,0
2,32270,2,0
2,33038,2,0
2,33806,2,1
2,33807,2,1
2,33809,2,1
2,34304,2,0
2,34305,2,1
2,34306,2,1
2,34307,2,1
2,34311,1,0
2,34313,2,1
2,34314,2,1
2,34320,2,1
2,34321,2,0
2,34570,3,0
2,35332,2,1
2,35333,2,1
2,35339,2,1
2,35340,2,0
2,35593,1,0
2,35842,2,0
2,35843,2,1
2,35846,2,1
2,35857,2,1
2,36618,0,0
2,36866,2,1
2,36876,2,1
2,36878,2,1
2,36879,2,1
2,36881,2,1
2,37377,2,0
2,37378,2,1
2,37379,2,1
2,37387,0,0
2,37389,2,1
2,37390,2,0
2,37390,2,1
2,38144,2,1
2,38145,2,1
2,38147,2,1
2,38148,2,1
2,38149,2,1
2,38150,2,1
2,38151,2,1
2,38152,2,1
2,38665,2,0
2,38666,2,0
2,39432,2,1
2,39433,2,1
2,39435,2,1
2,39436,2,1
2,39437,2,1
2,39438,2,1
2,39439,2,1
2,39440,2,0
2,39947,2,0
2,40974,2,0
2,41740,2,1
2,41741,2,1
2,41743,2,1
2,41744,2,1
2,41745,2,1
2,41984,2,1
2,41985,2,1
2,41988,2,0
2,41991,2,0
2,41998,2,1
2,41999,2,1
2,42000,2,1
2,42001,0,0
2,42496,1,0
2,42754,2,0
2,42755,2,1
2,42757,2,1
2,42758,2,1
2,42759,2,1
2,42760,2,1
2,43009,0,0
2,43524,2,1
2,43528,2,1
2,43531,2,1
2,43533,2,1
2,43534,2,1
2,43535,2,0
2,43535,2,1
2,43537,2,1
2,43779,1,0
2,44034,0,0
2,44291,2,1
2,44294,2,1
2,44802,2,1
2,44805,2,1
2,44806,2,0
2,45569,2,0
2,46341,2,1
2,46342,2,1
2,46343,2,0
2,46348,2,1
2,46848,2,1
2,46849,2,0
2,46855,2,1
2,46856,2,0
2,46860,2,1
2,46863,2,1
2,47622,2,0
2,47627,2,1
2,47630,2,1
2,48137,1,0
2,48138,2,0
2,48903,2,0
2,48907,2,0
2,49163,1,0
2,49675,2,0
2,49681,2,1
2,50186,0,0
2,50690,2,0
2,50691,2,1
2,50692,2,1
2,50693,2,1
2,50695,2,1
2,50696,2,1
2,50958,1,0
2,51201,2,1
2,51204,2,1
2,51205,2,1
2,51206,2,1
2,51207,2,0
2,51208,2,1
2,51212,2,1
2,51217,2,0
2,51975,2,1
2,51977,2,1
2,52485,2,1
2,52486,2,1
2,52487,2,1
2,52489,2,1
2,52490,2,1
2,52491,2,1
2,52492,2,1
2,52493,2,0
2,53506,2,0
2,54021,2,1
2,54022,2,1
2,54024,2,1
2,54025,2,1
2,54026,2,1
2,54027,2,0
2,54027,2,1
2,54028,2,1
2,55300,2,0
2,55302,2,0
2,55566,2,1
2,55567,2,1
